Dataset: IRELAND
Runs: 15 seeds
Checkpoint selection: lowest validation composite loss

**------ Seed 1/15 ------**
[1/100] Train loss: 0.187523, Val composite loss: 0.159878, Val MAE: 3.100163, Val RMSE: 4.081952
[2/100] Train loss: 0.165285, Val composite loss: 0.155750, Val MAE: 3.018805, Val RMSE: 4.045248
[3/100] Train loss: 0.161576, Val composite loss: 0.152934, Val MAE: 2.962793, Val RMSE: 3.949699
[4/100] Train loss: 0.159356, Val composite loss: 0.154975, Val MAE: 3.003796, Val RMSE: 3.999425
[5/100] Train loss: 0.158202, Val composite loss: 0.151274, Val MAE: 2.925250, Val RMSE: 3.891558
[6/100] Train loss: 0.157696, Val composite loss: 0.151430, Val MAE: 2.924297, Val RMSE: 3.915386
[7/100] Train loss: 0.156839, Val composite loss: 0.150802, Val MAE: 2.915092, Val RMSE: 3.876308
[8/100] Train loss: 0.156492, Val composite loss: 0.149031, Val MAE: 2.878312, Val RMSE: 3.848135
[9/100] Train loss: 0.155797, Val composite loss: 0.148634, Val MAE: 2.875100, Val RMSE: 3.812169
[10/100] Train loss: 0.155517, Val composite loss: 0.148808, Val MAE: 2.879254, Val RMSE: 3.826171
[11/100] Train loss: 0.155148, Val composite loss: 0.148895, Val MAE: 2.878048, Val RMSE: 3.835252
[12/100] Train loss: 0.154873, Val composite loss: 0.148780, Val MAE: 2.875767, Val RMSE: 3.828180
[13/100] Train loss: 0.154554, Val composite loss: 0.148035, Val MAE: 2.859269, Val RMSE: 3.822636
[14/100] Train loss: 0.154364, Val composite loss: 0.147873, Val MAE: 2.843590, Val RMSE: 3.832471
[15/100] Train loss: 0.154067, Val composite loss: 0.149397, Val MAE: 2.885752, Val RMSE: 3.873938
[16/100] Train loss: 0.154112, Val composite loss: 0.147830, Val MAE: 2.852006, Val RMSE: 3.815491
[17/100] Train loss: 0.153782, Val composite loss: 0.147952, Val MAE: 2.860859, Val RMSE: 3.811656
[18/100] Train loss: 0.153574, Val composite loss: 0.147031, Val MAE: 2.838937, Val RMSE: 3.801105
[19/100] Train loss: 0.153421, Val composite loss: 0.146871, Val MAE: 2.834119, Val RMSE: 3.792015
[20/100] Train loss: 0.153364, Val composite loss: 0.147012, Val MAE: 2.846535, Val RMSE: 3.789418
[21/100] Train loss: 0.153013, Val composite loss: 0.149921, Val MAE: 2.890614, Val RMSE: 3.869587
[22/100] Train loss: 0.153039, Val composite loss: 0.150612, Val MAE: 2.910354, Val RMSE: 3.854677
[23/100] Train loss: 0.153007, Val composite loss: 0.147208, Val MAE: 2.857296, Val RMSE: 3.799121
[24/100] Train loss: 0.152553, Val composite loss: 0.147242, Val MAE: 2.835522, Val RMSE: 3.808701
[25/100] Train loss: 0.151902, Val composite loss: 0.146344, Val MAE: 2.820843, Val RMSE: 3.773308
[26/100] Train loss: 0.151699, Val composite loss: 0.146083, Val MAE: 2.815295, Val RMSE: 3.760676
[27/100] Train loss: 0.151682, Val composite loss: 0.146048, Val MAE: 2.819815, Val RMSE: 3.759890
[28/100] Train loss: 0.151474, Val composite loss: 0.147151, Val MAE: 2.827229, Val RMSE: 3.806067
[29/100] Train loss: 0.151458, Val composite loss: 0.146572, Val MAE: 2.833750, Val RMSE: 3.784627
[30/100] Train loss: 0.151304, Val composite loss: 0.146946, Val MAE: 2.845283, Val RMSE: 3.778497
[31/100] Train loss: 0.151209, Val composite loss: 0.146565, Val MAE: 2.822044, Val RMSE: 3.776140
[32/100] Train loss: 0.151070, Val composite loss: 0.146409, Val MAE: 2.829884, Val RMSE: 3.755142
[33/100] Train loss: 0.150408, Val composite loss: 0.145022, Val MAE: 2.793712, Val RMSE: 3.739886
[34/100] Train loss: 0.150247, Val composite loss: 0.145145, Val MAE: 2.795312, Val RMSE: 3.742740
[35/100] Train loss: 0.150259, Val composite loss: 0.145921, Val MAE: 2.813568, Val RMSE: 3.750866
[36/100] Train loss: 0.150170, Val composite loss: 0.145595, Val MAE: 2.802895, Val RMSE: 3.763930
[37/100] Train loss: 0.150008, Val composite loss: 0.145570, Val MAE: 2.805401, Val RMSE: 3.746580
[38/100] Train loss: 0.149863, Val composite loss: 0.145584, Val MAE: 2.807573, Val RMSE: 3.755383
[39/100] Train loss: 0.149393, Val composite loss: 0.145287, Val MAE: 2.798028, Val RMSE: 3.743396
[40/100] Train loss: 0.149100, Val composite loss: 0.145197, Val MAE: 2.790802, Val RMSE: 3.748512
[41/100] Train loss: 0.149190, Val composite loss: 0.145439, Val MAE: 2.798708, Val RMSE: 3.748243
[42/100] Train loss: 0.148929, Val composite loss: 0.144696, Val MAE: 2.784154, Val RMSE: 3.739574
[43/100] Train loss: 0.148741, Val composite loss: 0.144732, Val MAE: 2.788827, Val RMSE: 3.739645
[44/100] Train loss: 0.148559, Val composite loss: 0.144988, Val MAE: 2.790740, Val RMSE: 3.744432
[45/100] Train loss: 0.148568, Val composite loss: 0.145384, Val MAE: 2.803930, Val RMSE: 3.757885
[46/100] Train loss: 0.148468, Val composite loss: 0.145210, Val MAE: 2.793604, Val RMSE: 3.756212
[47/100] Train loss: 0.148286, Val composite loss: 0.146500, Val MAE: 2.815904, Val RMSE: 3.790920
[48/100] Train loss: 0.147758, Val composite loss: 0.144857, Val MAE: 2.787117, Val RMSE: 3.736063
[49/100] Train loss: 0.147510, Val composite loss: 0.145720, Val MAE: 2.796648, Val RMSE: 3.773727
[50/100] Train loss: 0.147601, Val composite loss: 0.144669, Val MAE: 2.783098, Val RMSE: 3.736129
[51/100] Train loss: 0.147348, Val composite loss: 0.144868, Val MAE: 2.792272, Val RMSE: 3.734721
[52/100] Train loss: 0.147241, Val composite loss: 0.145016, Val MAE: 2.788020, Val RMSE: 3.739700
[53/100] Train loss: 0.147186, Val composite loss: 0.145428, Val MAE: 2.802278, Val RMSE: 3.738142
[54/100] Train loss: 0.147050, Val composite loss: 0.144194, Val MAE: 2.774057, Val RMSE: 3.720034
[55/100] Train loss: 0.146926, Val composite loss: 0.144755, Val MAE: 2.788026, Val RMSE: 3.723650
[56/100] Train loss: 0.146782, Val composite loss: 0.144640, Val MAE: 2.782839, Val RMSE: 3.723864
[57/100] Train loss: 0.146663, Val composite loss: 0.144821, Val MAE: 2.785653, Val RMSE: 3.736706
[58/100] Train loss: 0.146625, Val composite loss: 0.144848, Val MAE: 2.782866, Val RMSE: 3.734634
[59/100] Train loss: 0.146439, Val composite loss: 0.144587, Val MAE: 2.780823, Val RMSE: 3.725188
[60/100] Train loss: 0.145871, Val composite loss: 0.144449, Val MAE: 2.779363, Val RMSE: 3.728729
[61/100] Train loss: 0.145821, Val composite loss: 0.145160, Val MAE: 2.793371, Val RMSE: 3.746042
[62/100] Train loss: 0.145658, Val composite loss: 0.145003, Val MAE: 2.786981, Val RMSE: 3.747574
[63/100] Train loss: 0.145671, Val composite loss: 0.145526, Val MAE: 2.800123, Val RMSE: 3.747866
[64/100] Train loss: 0.145384, Val composite loss: 0.144655, Val MAE: 2.785620, Val RMSE: 3.727614
[65/100] Train loss: 0.145085, Val composite loss: 0.144504, Val MAE: 2.777933, Val RMSE: 3.726330
Selected epoch: 54
Test MAE: 2.744021
Test RMSE: 3.692540

**------ Seed 2/15 ------**
[1/100] Train loss: 0.188097, Val composite loss: 0.158659, Val MAE: 3.072930, Val RMSE: 4.097726
[2/100] Train loss: 0.165556, Val composite loss: 0.154678, Val MAE: 2.989948, Val RMSE: 3.985767
[3/100] Train loss: 0.161351, Val composite loss: 0.153400, Val MAE: 2.963685, Val RMSE: 3.939106
[4/100] Train loss: 0.159811, Val composite loss: 0.153324, Val MAE: 2.968914, Val RMSE: 3.957074
[5/100] Train loss: 0.158395, Val composite loss: 0.150810, Val MAE: 2.911269, Val RMSE: 3.888463
[6/100] Train loss: 0.157403, Val composite loss: 0.151531, Val MAE: 2.934070, Val RMSE: 3.902570
[7/100] Train loss: 0.157062, Val composite loss: 0.151134, Val MAE: 2.956901, Val RMSE: 3.899586
[8/100] Train loss: 0.156279, Val composite loss: 0.149746, Val MAE: 2.896005, Val RMSE: 3.861537
[9/100] Train loss: 0.155786, Val composite loss: 0.148092, Val MAE: 2.856091, Val RMSE: 3.825531
[10/100] Train loss: 0.155356, Val composite loss: 0.149142, Val MAE: 2.881680, Val RMSE: 3.857058
[11/100] Train loss: 0.154892, Val composite loss: 0.148425, Val MAE: 2.862785, Val RMSE: 3.828881
[12/100] Train loss: 0.154713, Val composite loss: 0.148624, Val MAE: 2.866910, Val RMSE: 3.828603
[13/100] Train loss: 0.154487, Val composite loss: 0.147559, Val MAE: 2.841396, Val RMSE: 3.815170
[14/100] Train loss: 0.154180, Val composite loss: 0.147072, Val MAE: 2.831268, Val RMSE: 3.801880
[15/100] Train loss: 0.153979, Val composite loss: 0.147766, Val MAE: 2.847369, Val RMSE: 3.820052
[16/100] Train loss: 0.153928, Val composite loss: 0.147305, Val MAE: 2.841136, Val RMSE: 3.803042
[17/100] Train loss: 0.153335, Val composite loss: 0.147108, Val MAE: 2.842796, Val RMSE: 3.785993
[18/100] Train loss: 0.153255, Val composite loss: 0.148062, Val MAE: 2.860023, Val RMSE: 3.821040
[19/100] Train loss: 0.152913, Val composite loss: 0.147261, Val MAE: 2.845500, Val RMSE: 3.793470
[20/100] Train loss: 0.152385, Val composite loss: 0.147048, Val MAE: 2.837462, Val RMSE: 3.810062
[21/100] Train loss: 0.152029, Val composite loss: 0.146134, Val MAE: 2.824677, Val RMSE: 3.752460
[22/100] Train loss: 0.151927, Val composite loss: 0.145993, Val MAE: 2.816128, Val RMSE: 3.762718
[23/100] Train loss: 0.151714, Val composite loss: 0.145675, Val MAE: 2.804966, Val RMSE: 3.754214
[24/100] Train loss: 0.151523, Val composite loss: 0.145324, Val MAE: 2.794976, Val RMSE: 3.756951
[25/100] Train loss: 0.151380, Val composite loss: 0.145592, Val MAE: 2.808921, Val RMSE: 3.752125
[26/100] Train loss: 0.151312, Val composite loss: 0.145271, Val MAE: 2.805595, Val RMSE: 3.751495
[27/100] Train loss: 0.151119, Val composite loss: 0.145940, Val MAE: 2.813630, Val RMSE: 3.761261
[28/100] Train loss: 0.150825, Val composite loss: 0.145275, Val MAE: 2.797063, Val RMSE: 3.741109
[29/100] Train loss: 0.150781, Val composite loss: 0.145420, Val MAE: 2.798449, Val RMSE: 3.759366
[30/100] Train loss: 0.150597, Val composite loss: 0.145391, Val MAE: 2.803270, Val RMSE: 3.756356
