Dataset: UK
Runs: 15 seeds
Checkpoint selection: lowest validation composite loss

**------ Seed 1/15 ------**
[1/100] Train loss: 0.218272, Val composite loss: 0.188357, Val MAE: 3.365520, Val RMSE: 4.451433
[2/100] Train loss: 0.188089, Val composite loss: 0.171966, Val MAE: 3.066855, Val RMSE: 4.043768
[3/100] Train loss: 0.181117, Val composite loss: 0.168413, Val MAE: 3.015516, Val RMSE: 3.941592
[4/100] Train loss: 0.178178, Val composite loss: 0.170071, Val MAE: 3.017897, Val RMSE: 4.011090
[5/100] Train loss: 0.176354, Val composite loss: 0.166858, Val MAE: 2.967227, Val RMSE: 3.940205
[6/100] Train loss: 0.175732, Val composite loss: 0.164616, Val MAE: 2.931705, Val RMSE: 3.871811
[7/100] Train loss: 0.174230, Val composite loss: 0.164206, Val MAE: 2.919696, Val RMSE: 3.870988
[8/100] Train loss: 0.173142, Val composite loss: 0.163259, Val MAE: 2.905468, Val RMSE: 3.834178
[9/100] Train loss: 0.173249, Val composite loss: 0.163402, Val MAE: 2.917298, Val RMSE: 3.824424
[10/100] Train loss: 0.172500, Val composite loss: 0.164398, Val MAE: 2.918245, Val RMSE: 3.892721
[11/100] Train loss: 0.172256, Val composite loss: 0.163781, Val MAE: 2.919973, Val RMSE: 3.841915
[12/100] Train loss: 0.171594, Val composite loss: 0.162035, Val MAE: 2.883982, Val RMSE: 3.806844
[13/100] Train loss: 0.171301, Val composite loss: 0.162168, Val MAE: 2.888509, Val RMSE: 3.802774
[14/100] Train loss: 0.171035, Val composite loss: 0.162329, Val MAE: 2.897309, Val RMSE: 3.809172
[15/100] Train loss: 0.170439, Val composite loss: 0.162128, Val MAE: 2.890609, Val RMSE: 3.801535
[16/100] Train loss: 0.170377, Val composite loss: 0.162740, Val MAE: 2.887620, Val RMSE: 3.842403
[17/100] Train loss: 0.170114, Val composite loss: 0.163159, Val MAE: 2.910424, Val RMSE: 3.822443
[18/100] Train loss: 0.169236, Val composite loss: 0.161090, Val MAE: 2.862176, Val RMSE: 3.790141
[19/100] Train loss: 0.168979, Val composite loss: 0.160807, Val MAE: 2.854704, Val RMSE: 3.784513
[20/100] Train loss: 0.168904, Val composite loss: 0.161105, Val MAE: 2.854388, Val RMSE: 3.801387
[21/100] Train loss: 0.168732, Val composite loss: 0.161045, Val MAE: 2.859490, Val RMSE: 3.794898
[22/100] Train loss: 0.168382, Val composite loss: 0.161729, Val MAE: 2.878358, Val RMSE: 3.800247
[23/100] Train loss: 0.168560, Val composite loss: 0.161221, Val MAE: 2.870032, Val RMSE: 3.787822
[24/100] Train loss: 0.168338, Val composite loss: 0.161235, Val MAE: 2.876232, Val RMSE: 3.778622
[25/100] Train loss: 0.167387, Val composite loss: 0.160337, Val MAE: 2.852475, Val RMSE: 3.766440
