Dataset: USA
Runs: 15 seeds
Checkpoint selection: lowest validation composite loss

**------ Seed 1/15 ------**
[1/100] Train loss: 0.166765, Val composite loss: 0.155343, Val MAE: 1.322616, Val RMSE: 1.803094
[2/100] Train loss: 0.148723, Val composite loss: 0.150903, Val MAE: 1.273188, Val RMSE: 1.763034
[3/100] Train loss: 0.145161, Val composite loss: 0.149594, Val MAE: 1.261339, Val RMSE: 1.742364
[4/100] Train loss: 0.143315, Val composite loss: 0.146810, Val MAE: 1.247865, Val RMSE: 1.706341
[5/100] Train loss: 0.142275, Val composite loss: 0.146873, Val MAE: 1.240664, Val RMSE: 1.710652
[6/100] Train loss: 0.141221, Val composite loss: 0.145340, Val MAE: 1.230264, Val RMSE: 1.690942
[7/100] Train loss: 0.140503, Val composite loss: 0.146216, Val MAE: 1.238239, Val RMSE: 1.698107
[8/100] Train loss: 0.140033, Val composite loss: 0.144624, Val MAE: 1.223833, Val RMSE: 1.681153
[9/100] Train loss: 0.139488, Val composite loss: 0.144603, Val MAE: 1.224403, Val RMSE: 1.678852
[10/100] Train loss: 0.139026, Val composite loss: 0.144465, Val MAE: 1.226040, Val RMSE: 1.675847
[11/100] Train loss: 0.138639, Val composite loss: 0.144628, Val MAE: 1.221359, Val RMSE: 1.684685
[12/100] Train loss: 0.138577, Val composite loss: 0.144298, Val MAE: 1.227951, Val RMSE: 1.671632
[13/100] Train loss: 0.138282, Val composite loss: 0.144682, Val MAE: 1.223202, Val RMSE: 1.684274
[14/100] Train loss: 0.137850, Val composite loss: 0.145146, Val MAE: 1.221562, Val RMSE: 1.691124
[15/100] Train loss: 0.137911, Val composite loss: 0.144474, Val MAE: 1.216838, Val RMSE: 1.684276
[16/100] Train loss: 0.137563, Val composite loss: 0.144418, Val MAE: 1.216108, Val RMSE: 1.685870
[17/100] Train loss: 0.137325, Val composite loss: 0.143927, Val MAE: 1.215868, Val RMSE: 1.675942
[18/100] Train loss: 0.137175, Val composite loss: 0.144896, Val MAE: 1.218212, Val RMSE: 1.695038
[19/100] Train loss: 0.137309, Val composite loss: 0.143515, Val MAE: 1.218886, Val RMSE: 1.663678
[20/100] Train loss: 0.136858, Val composite loss: 0.144472, Val MAE: 1.223695, Val RMSE: 1.676098
[21/100] Train loss: 0.136722, Val composite loss: 0.143606, Val MAE: 1.211095, Val RMSE: 1.676314
[22/100] Train loss: 0.136864, Val composite loss: 0.143551, Val MAE: 1.214938, Val RMSE: 1.666445
[23/100] Train loss: 0.136436, Val composite loss: 0.143741, Val MAE: 1.228045, Val RMSE: 1.661541
[24/100] Train loss: 0.136435, Val composite loss: 0.143490, Val MAE: 1.214990, Val RMSE: 1.664838
[25/100] Train loss: 0.136306, Val composite loss: 0.143104, Val MAE: 1.214662, Val RMSE: 1.659789
[26/100] Train loss: 0.136222, Val composite loss: 0.143109, Val MAE: 1.211936, Val RMSE: 1.661837
[27/100] Train loss: 0.135989, Val composite loss: 0.143534, Val MAE: 1.232675, Val RMSE: 1.653866
[28/100] Train loss: 0.136020, Val composite loss: 0.144324, Val MAE: 1.215258, Val RMSE: 1.685925
[29/100] Train loss: 0.135913, Val composite loss: 0.143182, Val MAE: 1.211184, Val RMSE: 1.669976
[30/100] Train loss: 0.135775, Val composite loss: 0.142779, Val MAE: 1.211720, Val RMSE: 1.657082
[31/100] Train loss: 0.135577, Val composite loss: 0.143721, Val MAE: 1.225901, Val RMSE: 1.662389
[32/100] Train loss: 0.135612, Val composite loss: 0.143566, Val MAE: 1.210413, Val RMSE: 1.672522
[33/100] Train loss: 0.135431, Val composite loss: 0.143320, Val MAE: 1.208131, Val RMSE: 1.676289
